county_FIPS,state,county,per_capita_personal_income_2019,per_capita_personal_income_2020,per_capita_personal_income_2021,associate_degree_numbers_2016_2020,bachelor_degree_numbers_2016_2020,associate_degree_percentage_2016_2020,bachelor_degree_percentage_2015_2019
42027,PA,"Centre, PA",49211,52699,54994,20644,45671,20.69,45.77
48121,TX,"Denton, TX",62252,64434,68773,167395,260529,29.4,45.76
27163,MN,"Washington, MN",69775,72430,76733,52640,79942,30.04,45.62
13089,GA,"DeKalb, GA",53152,57129,61861,124143,235192,24.07,45.59
13059,GA,"Clarke, GA",35408,38188,40672,17467,32680,24.24,45.35
45019,SC,"Charleston, SC",67053,68720,73032,74264,132075,25.47,45.3
18105,IN,"Monroe, IN",46097,48974,52392,21967,38698,25.71,45.29
48259,TX,"Kendall, TX",92914,93875,96628,9221,14105,29.59,45.26
27031,MN,"Cook, MN",53157,56400,59112,1263,1934,29.5,45.17
48033,TX,"Borden, TX",77185,71300,101470,118,196,27.19,45.16
17019,IL,"Champaign, IL",46769,50839,54638,34248,55159,27.96,45.04
25001,MA,"Barnstable, MA",74107,79136,83191,46834,74952,28.13,45.01
21067,KY,"Fayette, KY",52888,56482,59987,58734,94488,27.96,44.98
41067,OR,"Washington, OR",62493,66270,71537,124308,184682,30.24,44.92
55133,WI,"Waukesha, WI",74733,77667,82032,84345,127542,29.62,44.79
17113,IL,"McLean, IL",50152,55203,58503,28942,46806,27.56,44.58
12109,FL,"St. Johns, FL",74335,76387,80062,51637,80785,28.43,44.48
29189,MO,"St. Louis, MO",73575,77419,81829,195646,307398,28.29,44.44
16057,ID,"Latah, ID",44601,47859,50703,7316,10213,31.8,44.4
34023,NJ,"Middlesex, NJ",61440,64920,70221,119339,252313,20.99,44.37
08047,CO,"Gilpin, CO",53743,59027,63971,1699,2165,34.79,44.33
51087,VA,"Henrico, VA",68826,69938,74650,60829,101632,26.49,44.26
30063,MT,"Missoula, MT",53992,57895,61881,24859,35675,30.82,44.23
01117,AL,"Shelby, AL",57963,60598,64350,43693,65337,29.56,44.21
12001,FL,"Alachua, FL",45870,48858,52367,46787,72456,28.47,44.08
25007,MA,"Dukes, MA",79853,81631,86341,3764,5857,28.29,44.03
08067,CO,"La Plata, CO",60274,63179,66944,12468,17747,30.93,44.03
34017,NJ,"Hudson, NJ",64645,65509,72046,83148,211641,17.28,43.98
01089,AL,"Madison, AL",53160,56499,59852,71675,110689,28.38,43.83
51075,VA,"Goochland, VA",104892,106031,110781,4586,7705,26.07,43.81
08053,CO,"Hinsdale, CO",50952,52257,56524,234,286,35.78,43.73
39165,OH,"Warren, OH",62927,66080,69581,38718,68681,24.64,43.71
50023,VT,"Washington, VT",59995,65375,67529,10403,18228,24.94,43.7
37037,NC,"Chatham, NC",67117,70130,75624,13828,23516,25.69,43.69
49051,UT,"Wasatch, UT",63088,66591,71360,6207,8700,31.15,43.66
54061,WV,"Monongalia, WV",48091,49890,52576,14890,28990,22.42,43.66
36001,NY,"Albany, NY",62495,67115,70947,55356,89318,26.99,43.55
34021,NJ,"Mercer, NJ",68721,71990,77911,51378,108064,20.7,43.53
08005,CO,"Arapahoe, CO",65322,68630,74267,126400,192823,28.45,43.4
06013,CA,"Contra Costa, CA",81782,88910,99312,233105,344244,29.34,43.33
47037,TN,"Davidson, TN",71100,74857,82087,119718,207439,25.01,43.33
21185,KY,"Oldham, KY",66002,68532,73110,13886,18929,31.57,43.03
24003,MD,"Anne Arundel, MD",68225,72003,76059,109282,170888,27.5,43
29165,MO,"Platte, MO",58704,60838,63771,21212,30181,30.22,43
27123,MN,"Ramsey, MN",54587,58217,62594,98532,157352,26.93,43
28105,MS,"Oktibbeha, MS",34454,36768,38463,6780,11070,26.25,42.87
48397,TX,"Rockwall, TX",65526,66943,70833,21454,28192,32.61,42.85
37189,NC,"Watauga, NC",40810,43559,46766,8795,13965,26.91,42.73
09007,CT,"Middlesex, CT",68546,71602,74453,32379,51145,27.04,42.71
06113,CA,"Yolo, CA",55724,60918,64468,34987,54823,27.2,42.62
27037,MN,"Dakota, MN",61297,64089,67927,93721,122588,32.55,42.57
53031,WA,"Jefferson, WA",54524,57847,60365,8691,11343,32.57,42.51
42003,PA,"Allegheny, PA",63478,66702,70580,229262,375438,25.95,42.5
30049,MT,"Lewis and Clark, MT",50533,54364,56791,14437,20552,29.85,42.49
09013,CT,"Tolland, CT",57947,60819,63722,25001,40924,25.9,42.4
46011,SD,"Brookings, SD",48112,51581,53860,5469,7960,29.03,42.25
42017,PA,"Bucks, PA",75056,79239,83011,108307,190042,24.07,42.23
37129,NC,"New Hanover, NC",50960,54391,57693,49504,67230,31.1,42.23
50013,VT,"Grand Isle, VT",64765,67532,70543,1273,2261,23.77,42.22
33009,NH,"Grafton, NH",66344,70687,74813,16052,26905,25.13,42.12
45013,SC,"Beaufort, SC",63489,66301,70166,40532,57762,29.5,42.04
36091,NY,"Saratoga, NY",67477,71652,75651,45232,69240,27.44,42.01
36087,NY,"Rockland, NY",60915,64854,69173,50306,85250,24.71,41.87
48491,TX,"Williamson, TX",54444,57236,62931,118331,158979,31.17,41.87
33015,NH,"Rockingham, NH",79315,82496,88303,63018,94312,27.97,41.86
06087,CA,"Santa Cruz, CA",70129,77181,85554,55648,75435,30.85,41.83
24021,MD,"Frederick, MD",62317,65338,68704,47320,72798,27.09,41.68
16081,ID,"Teton, ID",45088,47705,53564,2758,3283,34.79,41.41
48041,TX,"Brazos, TX",41404,43484,46702,32039,50360,26.35,41.41
37021,NC,"Buncombe, NC",51095,53944,57895,52030,79322,27.15,41.39
51179,VA,"Stafford, VA",56078,58744,62954,28316,39872,29.36,41.35
06059,CA,"Orange, CA",70539,75737,81034,601509,900407,27.56,41.25
49049,UT,"Utah, UT",44079,47232,50661,115689,127557,37.3,41.13
50015,VT,"Lamoille, VT",55262,59543,62305,4798,7309,26.94,41.04
12117,FL,"Seminole, FL",50950,52916,58539,108799,135603,32.93,41.04
50001,VT,"Addison, VT",53670,57156,59540,5979,10517,23.28,40.96
36079,NY,"Putnam, NY",70345,74127,78754,18213,28953,25.72,40.89
27139,MN,"Scott, MN",62909,65602,69243,31511,38960,33.06,40.88
38017,ND,"Cass, ND",58233,61736,65803,40364,46540,35.37,40.78
06061,CA,"Placer, CA",68351,73261,76849,101434,112522,36.76,40.77
29183,MO,"St. Charles, MO",55706,58134,61752,84532,110915,31.06,40.76
48043,TX,"Brewster, TX",46357,48670,53014,1770,2792,25.84,40.76
35049,NM,"Santa Fe, NM",61879,65042,69528,29296,45681,26.1,40.7
25009,MA,"Essex, MA",68305,73101,78093,134259,222503,24.53,40.65
31153,NE,"Sarpy, NE",52202,54900,58084,39684,47811,33.6,40.49
39049,OH,"Franklin, OH",51386,55376,58689,229819,352515,26.31,40.36
08065,CO,"Lake, CO",40328,44537,48942,1485,2359,25.4,40.35
51085,VA,"Hanover, VA",61617,65636,68934,20623,29774,27.93,40.32
31055,NE,"Douglas, NE",63204,64768,68699,108785,148488,29.45,40.2
08049,CO,"Grand, CO",54819,58265,62267,3317,4752,27.98,40.08
16001,ID,"Ada, ID",54866,58976,62610,109448,127431,34.41,40.06
51041,VA,"Chesterfield, VA",54866,57829,61200,69141,94139,29.42,40.05
17031,IL,"Cook, IL",63971,67558,73557,898202,1433419,25.05,39.98
31109,NE,"Lancaster, NE",51035,53827,56782,63727,78221,32.4,39.77
26077,MI,"Kalamazoo, MI",50835,54954,58524,52423,66147,31.51,39.76
24005,MD,"Baltimore, MD",61459,65502,69561,153352,229013,26.62,39.75
50025,VT,"Windham, VT",49643,53569,55841,7621,12616,24.01,39.74
18157,IN,"Tippecanoe, IN",41299,43243,45950,27031,42667,25.17,39.73
24041,MD,"Talbot, MD",75466,80052,84695,7939,11134,28.32,39.71
08007,CO,"Archuleta, CO",46973,50527,52312,3447,4115,33.24,39.68
39057,OH,"Greene, OH",52189,55300,58363,34995,44951,30.87,39.65
42045,PA,"Delaware, PA",69433,72700,77180,93834,152192,24.35,39.49
06073,CA,"San Diego, CA",62533,67830,72637,687870,893648,30.37,39.46
16013,ID,"Blaine, ID",122878,127990,134722,4289,6380,26.43,39.31
26065,MI,"Ingham, MI",42183,46669,49608,57281,69765,32.21,39.24
36055,NY,"Monroe, NY",53057,57252,60046,147063,201890,28.57,39.22
45079,SC,"Richland, SC",47123,49808,52980,79750,102411,30.48,39.14
02068,AK,"Denali Borough, AK",102888,91233,107916,531,730,28.46,39.12
39061,OH,"Hamilton, OH",60698,64043,67845,149793,214648,27.13,38.88
18063,IN,"Hendricks, IN",51087,54712,59804,31743,43277,28.51,38.88
36047,NY,"Kings, NY",51632,56349,61851,340514,691506,19.12,38.84
02110,AK,"Juneau City and Borough, AK",71082,72097,75996,8117,8769,35.9,38.79
47093,TN,"Knox, TN",52753,56206,59934,88877,121308,28.42,38.79
37125,NC,"Moore, NC",54737,57819,60775,22987,27871,31.94,38.72
08041,CO,"El Paso, CO",51015,54712,58627,165308,178990,35.75,38.71
16065,ID,"Madison, ID",22650,24244,25648,7083,6474,42.26,38.63
33011,NH,"Hillsborough, NH",63263,67127,71849,82634,113726,28.06,38.61
48209,TX,"Hays, TX",48754,51359,56097,38935,51855,28.97,38.58
09003,CT,"Hartford, CT",64283,67205,70168,157935,240369,25.3,38.51
49005,UT,"Cache, UT",41127,43253,47269,22386,24690,34.89,38.48
34005,NJ,"Burlington, NJ",62113,65654,69496,86533,121559,27.38,38.46
26055,MI,"Grand Traverse, MI",52710,57453,60388,23130,25740,34.52,38.42
06003,CA,"Alpine, CA",80225,75220,72734,247,336,28.23,38.4
49029,UT,"Morgan, UT",54976,58768,63256,2630,2570,39.28,38.39
50027,VT,"Windsor, VT",61443,65431,69523,11207,15949,26.96,38.36
37055,NC,"Dare, NC",60562,65191,68887,9410,10558,34.18,38.35
25011,MA,"Franklin, MA",56241,60297,63366,14517,20456,27.17,38.28
31045,NE,"Dawes, NE",39476,44425,47375,1808,2039,33.89,38.22
49011,UT,"Davis, UT",47468,50820,54820,75283,78583,36.56,38.17
25023,MA,"Plymouth, MA",69610,75025,79817,98653,138366,27.18,38.12
20051,KS,"Ellis, KS",46980,50491,53348,5628,6749,31.69,38
41005,OR,"Clackamas, OR",62194,66419,71504,101170,111898,34.35,37.99
48091,TX,"Comal, TX",63236,64164,67063,31532,39423,30.33,37.92
40119,OK,"Payne, OK",39008,41541,43952,11903,16765,26.86,37.83
39055,OH,"Geauga, OH",71640,74087,78294,17292,24359,26.82,37.78
04005,AZ,"Coconino, AZ",49454,54008,56914,26666,31726,31.63,37.63
06057,CA,"Nevada, CA",61358,65652,68973,29630,28748,38.72,37.57
19153,IA,"Polk, IA",54144,57947,60799,96077,121176,29.79,37.57
42019,PA,"Butler, PA",60060,63693,67203,35109,50347,26.16,37.51
50003,VT,"Bennington, VT",54828,58349,61287,6883,9536,27.05,37.48
21037,KY,"Campbell, KY",51621,55115,58701,17090,24124,26.55,37.47
42041,PA,"Cumberland, PA",56628,61296,63650,41947,66091,23.75,37.43
13135,GA,"Gwinnett, GA",43158,46705,50256,165597,221368,27.98,37.4
23023,ME,"Sagadahoc, ME",52027,56312,59843,7180,10048,26.7,37.37
36103,NY,"Suffolk, NY",72292,76687,81309,275781,385916,26.67,37.33
06055,CA,"Napa, CA",74379,82643,90608,30193,36459,30.81,37.2
41017,OR,"Deschutes, OR",58666,63872,67743,49096,52113,35.02,37.18
12099,FL,"Palm Beach, FL",89254,92773,100627,301527,403819,27.71,37.11
25027,MA,"Worcester, MA",56730,61577,65793,153708,212111,26.85,37.06
34039,NJ,"Union, NJ",68555,70955,77007,82647,140121,21.86,37.05
33003,NH,"Carroll, NH",63343,66897,69803,11614,14058,30.54,36.97
24013,MD,"Carroll, MD",62251,65635,69397,32150,43310,27.43,36.95
13057,GA,"Cherokee, GA",53954,56552,60235,54574,63411,31.78,36.92
24025,MD,"Harford, MD",59333,62868,66633,53237,65126,30.16,36.89
26081,MI,"Kent, MI",54507,58706,61852,131499,159668,30.34,36.84
55109,WI,"St. Croix, WI",57706,59997,63800,21505,22360,35.37,36.77
21239,KY,"Woodford, KY",53587,56003,59860,4849,6751,26.41,36.77
51061,VA,"Fauquier, VA",71845,74649,78810,15045,17838,30.94,36.68
46083,SD,"Lincoln, SD",69978,73915,77245,12649,13966,33.2,36.66
10003,DE,"New Castle, DE",56930,59303,63189,96810,141688,25.05,36.66
46065,SD,"Hughes, SD",53823,55955,61666,3812,4456,31.32,36.61
34037,NJ,"Sussex, NJ",63283,66431,71059,28920,37222,28.43,36.6
37081,NC,"Guilford, NC",47340,50418,54651,104962,130366,29.47,36.6
02020,AK,"Anchorage Municipality, AK",67317,68815,72032,64793,70359,33.69,36.58
17133,IL,"Monroe, IL",58859,61273,65224,8058,8938,32.96,36.56
38015,ND,"Burleigh, ND",60474,62746,66017,22870,23545,35.48,36.53
49035,UT,"Salt Lake, UT",53472,58028,62547,237252,265529,32.64,36.53
26093,MI,"Livingston, MI",59309,62640,65883,44356,49198,32.92,36.51
24035,MD,"Queen Anne's, MD",68447,71470,75811,9920,13053,27.73,36.49
19101,IA,"Jefferson, IA",47875,50955,55900,3960,4818,30,36.49
13073,GA,"Columbia, GA",53105,55920,58242,33062,37504,32.16,36.48
06097,CA,"Sonoma, CA",66715,73526,81006,123775,130834,34.47,36.43
01081,AL,"Lee, AL",39355,41760,45002,31414,36179,31.63,36.43
12115,FL,"Sarasota, FL",72499,75070,78815,99822,124739,29.13,36.41
36027,NY,"Dutchess, NY",59590,63333,67256,58599,75216,28.36,36.41
45045,SC,"Greenville, SC",50680,52376,55442,102802,128015,29.19,36.36
24029,MD,"Kent, MD",59791,63494,67648,3031,5050,21.78,36.29
34013,NJ,"Essex, NJ",63975,68192,74310,121171,195110,22.51,36.25
38035,ND,"Grand Forks, ND",51236,55175,58132,15562,15110,37.29,36.21
26083,MI,"Keweenaw, MI",50936,56579,59593,513,619,30,36.2
36067,NY,"Onondaga, NY",52978,57760,60992,93908,114310,29.69,36.14
23015,ME,"Lincoln, ME",52586,55972,59613,6514,9559,24.62,36.12
55063,WI,"La Crosse, WI",51477,54603,58301,26150,27488,34.33,36.09
06079,CA,"San Luis Obispo, CA",59806,63652,66617,68058,68535,35.83,36.08
37179,NC,"Union, NC",55973,59055,63777,45279,54397,29.97,36
09009,CT,"New Haven, CT",56888,60128,64643,145299,215189,24.3,35.98
12021,FL,"Collier, FL",110272,112479,117984,75580,103912,26.1,35.88
17093,IL,"Kendall, IL",51048,53941,58848,26838,29060,33.13,35.88
09005,CT,"Litchfield, CT",65789,69700,74852,37974,48299,28.19,35.86
36069,NY,"Ontario, NY",55262,59177,62051,24286,27855,31.22,35.81
33013,NH,"Merrimack, NH",60412,64478,68222,31193,38633,28.89,35.78
53067,WA,"Thurston, WA",52297,56527,61062,73003,71785,36.35,35.74
15003,HI,"Honolulu, HI",57560,60114,63912,211246,243482,30.99,35.72
51065,VA,"Fluvanna, VA",46851,49775,53612,6531,7039,33.03,35.6
39159,OH,"Union, OH",58178,61633,64967,10389,13923,26.52,35.55
29051,MO,"Cole, MO",48294,52134,54941,14593,18796,27.6,35.55
17077,IL,"Jackson, IL",39719,43023,46443,11435,12397,32.78,35.54
08015,CO,"Chaffee, CO",53607,56878,60550,5107,5670,32,35.53
08119,CO,"Teller, CO",54000,57928,61966,7070,6828,36.75,35.49
51099,VA,"King George, VA",56280,59255,62077,5349,6294,30.13,35.46
12095,FL,"Orange, FL",46649,49597,54979,269890,327968,29.14,35.41
25003,MA,"Berkshire, MA",56861,61586,65050,25677,32735,27.7,35.31
53073,WA,"Whatcom, WA",51683,54927,58137,52695,52830,35.19,35.28
35001,NM,"Bernalillo, NM",46130,49817,53616,149383,165802,31.79,35.28
12087,FL,"Monroe, FL",98415,99764,109136,17126,20796,29.05,35.27
06017,CA,"El Dorado, CA",69408,74679,78525,52465,49019,37.72,35.24
17111,IL,"McHenry, IL",56744,59737,64119,67439,73725,32.22,35.23
30043,MT,"Jefferson, MT",51121,54195,56632,2825,3087,32.23,35.22
33017,NH,"Strafford, NH",53852,57449,61139,26253,30226,30.58,35.21
23009,ME,"Hancock, ME",53152,56977,60105,11755,14786,27.97,35.18
05119,AR,"Pulaski, AR",52047,55423,58583,80662,94146,30.14,35.18
36029,NY,"Erie, NY",50760,55229,57625,195018,227537,30.1,35.11
26139,MI,"Ottawa, MI",49800,53507,56076,56492,63605,31.15,35.08
48319,TX,"Mason, TX",50721,52617,57094,918,1010,31.85,35.05
06083,CA,"Santa Barbara, CA",63586,69457,73995,82690,96547,29.95,34.97
46081,SD,"Lawrence, SD",54648,57791,60510,5879,6299,32.63,34.96
48339,TX,"Montgomery, TX",65882,66440,68974,119525,134843,30.95,34.91
56029,WY,"Park, WY",60645,62495,65944,7533,7352,35.72,34.87
17197,IL,"Will, IL",54695,57813,62272,138119,158426,30.37,34.84
47189,TN,"Wilson, TN",52573,54619,59229,28170,33591,29.15,34.76
26047,MI,"Emmet, MI",58421,63571,66826,8453,8416,34.9,34.75
26111,MI,"Midland, MI",54951,58544,62055,17944,20410,30.56,34.75
41027,OR,"Hood River, OR",55537,60167,65127,4300,5521,27.04,34.72
55029,WI,"Door, WI",61746,64481,68172,6606,7508,30.54,34.71
36085,NY,"Richmond, NY",56475,60381,65113,79855,115246,24.04,34.7
51043,VA,"Clarke, VA",68329,71331,75403,2968,3670,28.03,34.67
17089,IL,"Kane, IL",54489,58186,62837,98197,120761,28.18,34.66
05007,AR,"Benton, AR",86848,86938,91687,46880,62035,26.13,34.57
27013,MN,"Blue Earth, MN",45468,49109,51834,12956,13651,32.8,34.55
34041,NJ,"Warren, NJ",55865,58755,63041,20830,26189,27.45,34.51
12057,FL,"Hillsborough, FL",50058,53432,58140,273025,344058,27.35,34.46
20149,KS,"Pottawatomie, KS",53487,57035,59324,4715,5290,30.7,34.44
53035,WA,"Kitsap, WA",58290,62308,67845,73673,64694,39.18,34.4
27103,MN,"Nicollet, MN",50427,53688,56992,7743,7646,34.83,34.39
24033,MD,"Prince George's, MD",47269,51300,54916,170366,213156,27.49,34.39
09011,CT,"New London, CT",58362,61222,63877,56375,64656,29.97,34.38
13051,GA,"Chatham, GA",47724,51482,54586,62117,67476,31.63,34.36
39173,OH,"Wood, OH",48351,51122,53892,24519,27913,30.15,34.33
40027,OK,"Cleveland, OK",45294,47292,49946,60664,61912,33.58,34.27
02220,AK,"Sitka City and Borough, AK",70715,69752,75917,2186,2095,35.71,34.23
23013,ME,"Knox, ME",53097,56532,59420,8143,10334,26.95,34.21
24009,MD,"Calvert, MD",63780,66872,70690,19592,21621,30.99,34.2
27027,MN,"Clay, MN",43312,47440,51260,14789,13284,38.04,34.17
48171,TX,"Gillespie, TX",69396,73481,78039,5008,6687,25.57,34.15
08039,CO,"Elbert, CO",63234,65896,70961,7038,6408,37.5,34.15
17167,IL,"Sangamon, IL",49465,53056,57206,41999,46568,30.8,34.15
53029,WA,"Island, WA",56646,60419,65188,24296,21005,39.47,34.13
51157,VA,"Rappahannock, VA",69525,72056,76181,1706,1872,31.09,34.11
19113,IA,"Linn, IA",53212,56373,59294,52130,52015,34.17,34.09
08027,CO,"Custer, CO",46705,49704,51271,1562,1328,40.09,34.09
53037,WA,"Kittitas, WA",47000,50624,52846,9519,9842,32.95,34.06
01073,AL,"Jefferson, AL",55052,58053,62371,135630,153252,30.13,34.05
18005,IN,"Bartholomew, IN",54102,57535,61136,14190,19252,25.02,33.95
26103,MI,"Marquette, MI",40494,44933,47870,14342,15114,32.22,33.95
51103,VA,"Lancaster, VA",62479,66366,70474,2220,2922,25.77,33.93
37067,NC,"Forsyth, NC",49345,52167,56378,76354,86341,30,33.93
21111,KY,"Jefferson, KY",53360,57290,61474,163742,180570,30.75,33.91
36083,NY,"Rensselaer, NY",50039,54643,58126,34854,37969,31.12,33.9
06111,CA,"Ventura, CA",63833,68647,73375,184874,194239,32.26,33.89
39103,OH,"Medina, OH",58080,60816,64371,37880,42607,30.13,33.89
17203,IL,"Woodford, IL",52324,56401,60004,7896,8800,30.35,33.83
37175,NC,"Transylvania, NC",45984,48341,52252,8467,8811,32.51,33.83
21117,KY,"Kenton, KY",58804,63533,67808,33207,38375,29.26,33.81
34015,NJ,"Gloucester, NJ",55704,58909,62553,56162,68388,27.75,33.8
30057,MT,"Madison, MT",66750,70067,74468,2372,2285,35.06,33.77
31019,NE,"Buffalo, NE",56553,59369,61763,10121,10275,33.26,33.76
45091,SC,"York, SC",50047,52800,56566,60096,62418,32.48,33.74
