"지역(AREA)","코드(CODE)"
"동작구 흑석동","L08"
"마포구 공덕동","M01"
"마포구 구수동","M02"
"마포구 노고산동","M03"
"마포구 당인동","M04"
"마포구 대흥동","M05"
"마포구 도화동","M06"
"마포구 동교동","M07"
"마포구 마포동","M08"
"마포구 망원동","M09"
"마포구 상수동","M10"
"마포구 상암동","M11"
"마포구 서교동","M12"
"마포구 성산동","M13"
"마포구 신공덕동","M14"
"마포구 신수동","M15"
"마포구 신정동","M16"
"마포구 아현동","M17"
"마포구 연남동","M18"
"마포구 염리동","M19"
"마포구 용강동","M20"
"마포구 중동","M21"
"마포구 창전동","M22"
"마포구 토정동","M23"
"마포구 하중동","M24"
"마포구 합정동","M25"
"마포구 현석동","M26"
"서대문구 남가좌동","N01"
"서대문구 냉천동","N02"
"서대문구 대신동","N03"
"서대문구 대현동","N04"
"서대문구 미근동","N05"
"서대문구 북가좌동","N06"
"서대문구 북아현동","N07"
"서대문구 신촌동","N08"
"서대문구 연희동","N09"
"서대문구 영천동","N10"
"서대문구 옥천동","N11"
"서대문구 창천동","N12"
"서대문구 천연동","N13"
"서대문구 충정로","N14"
"서대문구 충현동","N15"
"서대문구 합동","N16"
"서대문구 현저동","N17"
"서대문구 홍은동","N18"
"서대문구 홍제동","N19"
"서초구 내곡동","O01"
"서초구 반포동","O02"
"서초구 방배동","O03"
"서초구 서초동","O04"
"서초구 신원동","O05"
"서초구 양재동","O06"
"서초구 염곡동","O07"
"서초구 우면동","O08"
"서초구 원지동","O09"
"서초구 잠원동","O10"
"성동구 금호동","P01"
"성동구 도선동","P02"
"성동구 마장동","P03"
"성동구 사근동","P04"
"성동구 성수동","P05"
"성동구 송정동","P06"
"성동구 옥수동","P07"
"성동구 왕십리동","P08"
"성동구 용답동","P09"
"성동구 응봉동","P10"
"성동구 행당동","P11"
"성동구 홍익동","P12"
"성북구 길음동","Q01"
"성북구 돈암동","Q02"
"성북구 동선동","Q03"
"성북구 동소문동","Q04"
"성북구 보문동","Q05"
"성북구 삼선동","Q06"
"성북구 석관동","Q07"
"성북구 성북동","Q08"
"성북구 안암동","Q09"
"성북구 월곡동","Q10"
"성북구 장위동","Q11"
"성북구 정릉동","Q12"
"성북구 종암동","Q13"
"송파구 가락동","R01"
"송파구 거여동","R02"
"송파구 마천동","R03"
"송파구 문정동","R04"
"송파구 방이동","R05"
"송파구 삼전동","R06"
"송파구 석촌동","R07"
"송파구 송파동","R08"
"송파구 신천동","R09"
"송파구 오금동","R10"
"송파구 오륜동","R11"
"송파구 위례동","R12"
"송파구 잠실동","R13"
"송파구 장지동","R14"
"송파구 풍납동","R15"
"양천구 목동","S01"
"양천구 신월동","S02"
"양천구 신정동","S03"
"영등포구 당산동","T01"
"영등포구 대림동","T02"
"영등포구 도림동","T03"
"영등포구 문래동","T04"
"영등포구 신길동","T05"
"영등포구 양평동","T06"
"영등포구 양화동","T07"
"영등포구 여의도동","T08"
"영등포구 영등포동","T09"
"용산구 갈월동","U01"
"용산구 남영동","U02"
"용산구 도원동","U03"
"용산구 동빙고동","U04"
"용산구 동자동","U05"
"용산구 문배동","U06"
"용산구 보광동","U07"
"용산구 산천동","U08"
"용산구 서계동","U09"
"용산구 서빙고동","U10"
"용산구 신계동","U11"
"용산구 신창동","U12"
"용산구 용문동","U13"
"용산구 용산동","U14"
"용산구 원효로","U15"
"용산구 이촌동","U16"
"용산구 이태원동","U17"
"용산구 주성동","U18"
"용산구 청암동","U19"
"용산구 청파동","U20"
"용산구 한강로동","U21"
"용산구 한남동","U22"
"용산구 효창동","U23"
"용산구 후암동","U24"
"은평구 갈현동","V01"
"은평구 구산동","V02"
"은평구 녹번동","V03"
"은평구 대조동","V04"
"은평구 불광동","V05"
"은평구 수색동","V06"
"은평구 신사동","V07"
"은평구 역촌동","V08"
"은평구 응암동","V09"
"은평구 증산동","V10"
"은평구 진관내동","V11"
"은평구 진관동","V12"
"종로구 가회동","W01"
"종로구 견지동","W02"
"종로구 경운동","W03"
"종로구 계동","W04"
"종로구 공평동","W05"
"종로구 관수동","W06"
"종로구 관철동","W07"
"종로구 관훈동","W08"
"종로구 교남동","W09"
"종로구 교북동","W10"
"종로구 구기동","W11"
"종로구 궁정동","W12"
"종로구 낙원동","W13"
"종로구 내수동","W14"
"종로구 내자동","W15"
"종로구 누상동","W16"
"종로구 누하동","W17"
"종로구 당주동","W18"
"종로구 도렴동","W19"
"종로구 돈의동","W20"
"종로구 동숭동","W21"
"종로구 명륜동","W22"
"종로구 묘동","W23"
"종로구 무악동","W24"
"종로구 부암동","W25"
"종로구 사직동","W26"
"종로구 삼청동","W27"
"종로구 서린동","W28"
"종로구 세종로","W29"
"종로구 송월동","W30"
"종로구 수송동","W31"
"종로구 숭인동","W32"
"종로구 신교동","W33"
"종로구 신문로","W34"
"종로구 신영동","W35"
"종로구 안국동","W36"
"종로구 연건동","W37"
"종로구 연지동","W38"
"종로구 예지동","W39"
"종로구 옥인동","W40"
"종로구 와룡동","W41"
"종로구 운니동","W42"
"종로구 원남동","W43"
"종로구 원서동","W44"
"종로구 이화동","W45"
"종로구 익선동","W46"
"종로구 인사동","W47"
"종로구 인의동","W48"
"종로구 장사동","W49"
"종로구 재동","W50"
"종로구 적선동","W51"
"종로구 종로","W52"
"종로구 중학동","W53"
"종로구 창성동","W54"
"종로구 창신동","W55"
"종로구 청운동","W56"
"종로구 청운효자동","W57"
"종로구 청진동","W58"
"종로구 충신동","W59"
"종로구 통의동","W60"
"종로구 통인동","W61"
"종로구 팔판동","W62"
"종로구 평동","W63"
"종로구 평창동","W64"
"종로구 필운동","W65"
"종로구 행촌동","W66"
"종로구 혜화동","W67"
"종로구 홍지동","W68"
"종로구 홍파동","W69"
"종로구 화동","W70"
"종로구 효자동","W71"
"종로구 효제동","W72"
"중구 광희동","X01"
"중구 남대문로","X02"
"중구 남산동","X03"
"중구 다동","X04"
"중구 다산동","X05"
"중구 동화동","X06"
"중구 만리동","X07"
"중구 명동","X08"
"중구 무교동","X09"
"중구 무학동","X10"
"중구 봉래동","X11"
"중구 북창동","X12"
"중구 산림동","X13"
"중구 삼각동","X14"
"중구 서소문동","X15"
"중구 소공동","X16"
"중구 수표동","X17"
"중구 수하동","X18"
"중구 순화동","X19"
"중구 신당동","X20"
"중구 쌍림동","X21"
"중구 약수동","X22"
"중구 예관동","X23"
"중구 예장동","X24"
"중구 오장동","X25"
"중구 을지로","X26"
"중구 의주로","X27"
"중구 인현동","X28"
"중구 입정동","X29"
"중구 장교동","X30"
"중구 장충동","X31"
"중구 저동","X32"
"중구 정동","X33"
"중구 주교동","X34"
"중구 중림동","X35"
"중구 청구동","X36"
"중구 초동","X37"
"중구 충무로","X38"
"중구 충정로","X39"
"중구 태평로","X40"
"중구 필동","X41"
"중구 황학동","X42"
"중구 회현동","X43"
"중구 흥인동","X44"
"중랑구 망우동","Y01"
"중랑구 면목동","Y02"
"중랑구 묵동","Y03"
"중랑구 상봉동","Y04"
"중랑구 신내동","Y05"
"중랑구 중화동","Y06"
