Rank,Country,Happiness,Dystopia + Residual,GDP,Social Support,Healthy Life Expectancy,Freedom,Generosity,Corruption
110,Iran,4.888,1.427,1.41,0.741,0.642,0.281,0.241,0.146
111,Ghana,4.872,1.972,1.112,0.595,0.409,0.5,0.23,0.056
112,Turkey,4.744,1.059,1.707,0.865,0.702,0.209,0.087,0.115
113,Burkina Faso,4.67,2.313,0.779,0.565,0.32,0.382,0.186,0.126
114,Cambodia,4.64,1.41,1.019,0.732,0.505,0.74,0.166,0.068
115,Benin,4.623,2.458,0.932,0.064,0.335,0.479,0.127,0.23
116,Comoros*,4.609,2.304,0.899,0.476,0.424,0.185,0.195,0.125
117,Uganda,4.603,1.842,0.777,0.875,0.418,0.402,0.222,0.066
118,Nigeria,4.552,1.784,1.079,0.732,0.3,0.444,0.175,0.038
119,Kenya,4.543,1.661,1.032,0.605,0.401,0.44,0.322,0.082
120,Tunisia,4.516,1.54,1.35,0.596,0.656,0.316,0.029,0.029
121,Pakistan,4.516,1.94,1.049,0.413,0.374,0.448,0.181,0.112
122,Palestinian Territories*,4.483,1.368,1.148,0.957,0.521,0.336,0.073,0.079
123,Mali,4.479,2.373,0.792,0.483,0.311,0.35,0.128,0.042
124,Namibia,4.459,1.414,1.292,0.877,0.354,0.384,0.067,0.071
125,"Eswatini, Kingdom of*",4.396,1.688,1.274,0.786,0.197,0.259,0.038,0.154
126,Myanmar,4.394,0.877,1.038,0.829,0.491,0.513,0.452,0.194
127,Sri Lanka,4.362,0.595,1.415,0.934,0.66,0.529,0.15,0.079
128,Madagascar*,4.339,2.148,0.67,0.645,0.378,0.202,0.143,0.154
129,Egypt,4.288,0.856,1.388,0.732,0.548,0.469,0.041,0.254
130,Chad*,4.251,2.419,0.662,0.506,0.225,0.18,0.182,0.077
131,Ethiopia,4.241,1.375,0.788,0.809,0.457,0.472,0.205,0.136
132,Yemen*,4.197,1.561,0.691,1.043,0.384,0.33,0.09,0.098
133,Mauritania*,4.153,1.207,1.1,0.865,0.45,0.304,0.088,0.138
134,Jordan,4.152,0.695,1.324,0.724,0.675,0.476,0.058,0.2
135,Togo,4.112,2.061,0.771,0.322,0.36,0.292,0.174,0.132
136,India,3.777,0.795,1.167,0.376,0.471,0.647,0.198,0.123
137,Zambia,3.76,1.135,0.93,0.577,0.306,0.525,0.203,0.083
138,Malawi,3.75,1.661,0.648,0.279,0.388,0.477,0.14,0.157
139,Tanzania,3.702,0.735,0.848,0.597,0.425,0.578,0.248,0.27
140,Sierra Leone,3.574,1.556,0.686,0.416,0.273,0.387,0.202,0.055
141,Lesotho*,3.512,1.312,0.839,0.848,0,0.419,0.076,0.018
142,Botswana*,3.471,0.187,1.503,0.815,0.28,0.571,0.012,0.102
143,Rwanda*,3.268,0.536,0.785,0.133,0.462,0.621,0.187,0.544
144,Zimbabwe,2.995,0.548,0.947,0.69,0.27,0.329,0.106,0.105
145,Lebanon,2.955,0.216,1.392,0.498,0.631,0.103,0.082,0.034
146,Afghanistan,2.404,1.263,0.758,0,0.289,0,0.089,0.005
