id,hour,hour_bef_temperature,hour_bef_precipitation,hour_bef_windspeed,hour_bef_humidity,hour_bef_visibility,hour_bef_ozone,hour_bef_pm10,hour_bef_pm2.5,count
118,22,16.2,0,3.5,29,2000,0.044,46,14,117
119,5,11,0,1.6,84,469,0.049,61,33,12
123,23,15.4,0,2.8,71,1926,0.024,33,16,124
124,11,15,0,1.4,50,1517,0.03,48,24,86
125,9,15.1,0,2.2,71,791,0.016,53,24,104
126,0,15.5,0,0.9,30,2000,0.004,51,32,76
127,21,22.1,0,2.6,56,2000,0.028,30,21,222
128,15,29.1,0,3.9,20,1950,0.069,50,30,106
129,7,13.2,0,0.9,55,2000,0.041,34,17,100
130,1,9.4,0,2.5,65,1907,,,,39
131,14,20.1,0,4.9,52,1331,0.063,53,28,130
133,7,17.7,0,0.6,66,1996,0.006,34,28,106
134,2,10.7,0,2.4,72,990,0.042,52,25,30
135,22,19.9,0,2.8,44,2000,0.039,29,22,196
136,20,20.7,0,4.1,31,2000,0.043,40,13,191
137,7,6.4,0,0.7,83,1147,0.018,55,21,82
138,14,22,0,5.5,57,1105,0.054,44,24,41
139,5,8.2,0,0.4,71,1758,0.034,46,19,10
140,10,16.8,0,2.1,63,1086,0.026,36,18,99
141,23,17.8,0,2.2,52,2000,0.023,32,19,183
142,19,25,0,3.7,24,2000,0.054,41,23,252
144,22,14.3,0,1.7,72,820,0.006,60,45,108
145,11,23.3,0,1.2,32,1001,0.027,63,33,104
146,19,17.8,0,3.6,53,746,0.04,83,47,204
148,12,18.6,0,1.4,57,788,0.042,74,43,116
149,16,15.8,0,5.3,17,1923,0.047,,,102
154,3,11.7,0,3.9,98,150,0.041,20,20,3
157,20,11.4,0,2.5,85,716,0.033,38,26,102
158,11,21.5,0,1.9,37,1284,0.053,90,37,112
160,8,19.4,0,2.7,71,627,0.053,68,39,191
162,4,8,0,1.5,53,861,0.005,82,77,8
164,3,8.5,0,1.1,54,848,0.007,81,73,8
165,18,25.4,0,3.4,33,2000,0.06,40,21,369
166,9,10.1,0,0.4,60,1421,0.013,52,24,107
167,16,29.6,0,3.6,14,2000,0.061,49,28,164
168,19,20,0,3.8,72,1406,0.022,37,22,5
169,10,11.7,0,1,34,914,0.009,90,70,65
170,20,16.9,0,3.4,63,1966,0.041,46,22,185
171,12,18.3,0,5.3,37,1992,0.045,48,11,125
172,16,23.4,0,3.6,39,1670,0.074,59,40,291
173,17,21.8,0,4,23,1999,0.055,35,20,250
174,10,9.5,0,2.7,99,182,0.023,24,23,37
175,15,28.4,0,5.1,43,990,0.099,77,49,97
176,20,22.7,0,3.1,41,732,0.1,102,60,249
178,18,13.3,0,4.3,73,1518,0.044,45,22,145
179,3,13.2,0,2.5,25,950,0.041,269,21,16
180,21,12.9,0,3.4,48,2000,0.042,45,23,132
181,16,26.2,0,4.3,31,1718,,47,23,136
182,21,15.5,0,3.2,64,1994,0.039,40,19,194
183,0,18.5,0,0.9,46,1848,0.008,69,44,69
184,2,18,0,2.1,66,1659,0.023,40,29,20
185,17,27.2,0,4.4,45,1621,0.082,55,32,304
187,14,28.4,0,3.4,44,819,0.082,78,52,97
189,7,10.7,0,1.3,93,177,0.015,71,58,6
193,19,27,0,3.6,39,2000,0.047,,,319
194,3,10.7,1,3.3,56,1392,0.032,103,23,12
196,9,18.7,0,1.3,43,1108,0.01,71,40,97
197,20,10.4,0,1.7,84,1337,0.018,27,27,86
198,22,8.4,0,3.5,60,2000,0.03,47,36,58
199,4,17.8,0,1.8,91,328,0.013,25,22,9
201,17,20.8,0,3.2,22,1135,0.068,74,57,118
202,9,14.7,0,2,68,589,0.01,65,44,60
203,13,19.3,0,3.2,52,929,0.011,126,37,148
204,2,17.8,0,1.5,47,2000,0.028,34,22,50
205,15,22.2,0,4.9,56,1501,0.058,46,24,11
206,10,18.2,0,2.4,60,527,,,,66
207,18,15.2,0,7.4,84,453,0.062,62,28,115
208,1,18.8,0,1.1,61,2000,,,,62
212,23,12.2,0,2.3,72,869,0.034,72,34,80
213,21,10.5,0,2.6,17,2000,0.038,58,15,122
216,20,23.6,0,4,60,1082,0.078,61,37,247
217,9,17.6,0,0.9,47,1892,0.013,36,22,121
220,1,18.4,0,3.1,31,2000,,,,63
221,11,22.2,0,2.2,38,676,0.04,106,52,85
223,0,18.6,0,0.3,58,554,0.053,110,63,104
224,23,12.7,0,2.1,60,737,0.061,88,60,75
226,3,16.8,0,1.6,40,1994,0.046,48,25,30
227,18,25.3,0,4.7,31,2000,0.061,30,17,293
229,13,26.4,0,4.1,27,1943,0.061,44,23,92
230,0,11.4,1,2.8,84,350,0.012,69,59,17
231,15,19.7,0,4.6,16,1986,0.047,31,12,104
232,7,11.4,0,1.6,82,460,0.039,74,44,12
233,12,25.7,0,1.6,44,1144,0.02,49,30,119
234,1,15.3,0,1.4,77,1542,,,,41
235,11,17.4,0,2.7,46,876,0.019,76,35,111
237,20,23.2,0,4.7,38,2000,0.043,41,29,278
238,5,7.5,0,0.9,68,2000,0.029,61,16,10
239,18,19.4,0,4.5,37,1789,0.058,54,31,305
240,13,22.6,0,4.2,55,1486,0.046,32,23,115
244,9,12.4,0,1.6,77,550,0.029,73,41,74
246,4,16.9,0,2,71,1636,0.037,29,22,8
248,4,10.4,0,0.2,83,1235,0.027,35,24,13
249,0,16.6,0,2.3,47,1048,0.074,76,41,89
250,2,12.3,0,1.2,54,1814,0.036,78,20,24
255,16,11.6,1,4.3,92,320,0.041,,,36
256,2,11.4,0,1.6,83,610,0.048,57,32,37
257,20,14.2,0,2.5,76,1736,0.043,29,24,138
259,17,18.6,0,5.8,22,1935,0.062,62,16,148
262,14,18.8,0,3.8,23,2000,0.047,40,14,113
263,6,13,0,1.2,80,611,0.02,56,41,15
264,5,9.9,0,0.5,85,1082,0.018,34,26,12
268,1,8.8,0,3.6,62,1997,,,,45
271,5,9.5,0,0.5,49,2000,0.027,26,19,11
272,7,15.8,0,2,73,776,0.036,30,23,109
273,6,11.1,0,2,92,202,0.011,76,63,14
274,10,13.4,0,2.8,35,2000,0.024,30,20,92
276,22,17.2,0,2.1,23,2000,0.011,37,24,173
277,13,18.2,0,2.7,39,1678,0.039,55,21,138
280,11,19.6,0,2.9,50,602,0.061,193,54,66
281,4,10.1,0,1.6,73,937,0.04,50,22,12
282,13,21.4,0,1.8,54,737,0.032,77,28,114
283,7,7,0,1,57,835,0.004,79,69,71
284,16,18.2,0,2.7,30,1932,0.051,56,15,129
285,12,25.3,0,2.6,39,1809,0.048,33,24,168
290,7,16.2,0,1.7,51,1583,0.004,65,46,87
291,3,7.9,0,1.7,73,1827,0.034,52,21,14
292,12,23.5,0,2,55,1788,0.027,26,18,138
295,8,9.2,0,0.8,90,347,0.022,39,,160
296,5,13.2,0,1,81,722,0.019,51,24,13
298,4,18.5,0,0.2,55,2000,0.014,30,21,17
299,20,16.4,0,4.2,33,2000,0.052,53,24,155
300,6,11.5,0,0.5,43,869,0.012,72,64,21
301,23,19.3,0,3.7,52,812,0.058,108,64,143
305,4,13.1,0,0.4,73,1480,0.005,33,19,13
306,9,21.3,0,1.2,45,1993,0.008,31,19,129
308,21,15,0,2.7,30,2000,0.056,33,21,109
310,10,19.4,0,3.6,37,1462,0.04,81,38,83
313,20,10.2,0,2.3,47,2000,0.047,41,29,61
316,14,23.4,0,2.6,43,844,0.047,71,46,229
317,6,9.9,0,0.3,77,774,0.026,63,31,13
318,20,19.7,0,4.3,60,1991,0.042,35,24,244
320,5,14.7,0,0.2,48,2000,0.023,28,20,19
321,17,23,0,2.5,40,921,0.034,43,35,159
324,23,15.4,0,2.2,33,2000,0.034,49,19,85
326,2,12.7,0,2.5,45,2000,0.037,32,25,21
328,4,18,0,1.3,75,259,0.007,110,68,15
329,8,15,0,1.1,50,1465,0.006,54,29,46
331,21,19.4,0,3.4,40,2000,0.04,33,17,199
334,16,27.5,0,5,24,1916,0.067,45,27,148
335,6,6.6,0,0.4,83,1109,0.024,54,20,22
336,20,15.4,0,5.3,46,1536,0.058,99,23,81
337,14,17.8,0,2.7,56,524,0.025,72,59,203
339,11,16.4,0,4.1,26,1923,0.034,40,16,101
340,22,22.8,0,2.5,67,1899,0.018,33,25,221
342,8,10.3,0,4.3,43,2000,0.032,34,26,195
343,4,9.9,0,2.6,49,2000,0.04,32,16,14
344,2,19.8,0,2.2,58,1632,0.025,63,30,52
346,1,12.4,1,2.4,99,232,,,,6
347,23,16.6,0,0.4,26,2000,0.004,60,32,105
351,10,14.4,0,3.1,32,1767,0.029,42,22,79
353,12,24.7,0,2.7,31,2000,0.05,26,17,142
354,23,19.8,0,2.2,57,2000,0.004,32,21,153
357,6,9.2,0,2.2,77,848,0.03,46,25,43
359,15,27,0,3.9,43,1090,0.043,54,32,133
360,4,15.9,0,1.7,59,669,0.02,103,62,20
361,23,16.8,0,2.2,45,2000,0.03,31,17,123
362,5,18.6,0,2.3,61,1527,0.025,56,30,28
364,23,11.8,0,2.6,78,916,0.041,58,32,79
365,14,23.1,0,3.6,44,620,0.08,237,62,91
366,17,22.3,0,2.7,42,819,0.073,200,,151
367,16,19.2,0,3.5,54,2000,0.044,32,16,137
368,1,9.9,0,1.3,85,522,,,,35
370,9,8.8,0,1.8,44,833,0.005,86,69,88
373,16,23.5,0,4.1,20,1947,0.067,48,25,332
374,23,21.3,0,2.3,68,900,0.056,65,38,140
376,10,17.2,0,0.8,56,648,0.018,67,48,75
377,12,18,0,5,18,1268,0.037,163,16,77
378,6,8.7,0,0.7,85,490,0.006,76,36,13
379,13,24,0,3.5,49,1986,0.051,42,29,119
381,1,14.1,0,,55,1992,,,,38
382,16,21.1,0,5.6,21,1939,0.075,37,21,382
383,15,19.2,0,5.4,23,2000,0.049,42,13,121
384,3,13.5,0,0.2,72,839,0.036,60,40,27
385,11,14.9,0,2.5,33,1928,0.023,38,20,85
386,3,13.8,0,1,81,849,0.032,48,19,18
387,23,12.1,0,1,76,1995,0.036,25,23,78
389,4,16.1,0,0.6,45,1968,0.036,47,26,13
390,12,23.7,0,2.6,36,1534,0.045,53,30,125
395,22,15.6,0,0.3,86,507,0.02,68,30,102
397,9,11.2,0,0.8,67,660,0.009,75,38,70
398,6,17.3,0,1.2,90,533,0.021,26,20,37
399,20,19.9,0,1.5,13,2000,0.045,18,14,168
400,14,27.2,0,2,36,1299,0.041,51,31,118
402,13,15.8,0,2.5,61,455,0.02,75,66,141
403,0,19.5,0,2.4,55,2000,0.003,34,22,98
404,3,14,0,,50,2000,0.049,35,22,17
405,7,17,0,1.4,89,536,0.021,29,22,103
406,2,15.6,0,0.8,71,1908,0.03,33,19,44
408,19,23.5,0,4.4,33,1428,0.064,98,41,201
411,16,26.6,0,4.8,38,2000,0.063,30,23,300
412,1,19,0,0.6,78,258,,,,46
413,19,22.5,0,3.7,53,904,0.082,84,53,262
414,5,18.8,0,1.4,74,618,0.055,61,37,18
415,17,24.1,0,2.8,53,525,0.082,88,51,158
417,16,26.2,0,3.9,33,2000,0.063,36,23,254
419,2,12.4,0,3.5,42,1448,0.063,73,47,25
423,2,14.1,0,4.5,42,2000,0.037,21,12,40
425,14,26.4,0,3.5,32,1911,0.067,29,18,229
426,10,7.7,0,0.5,65,990,0.011,35,,55
427,6,13.4,0,1.9,78,815,0.02,53,26,36
430,20,25.7,0,2.7,54,1978,0.025,48,31,252
432,19,24.1,0,4.2,34,2000,0.051,36,16,278
433,0,14.5,0,2.2,67,1661,0.033,47,18,62
434,14,20,0,1.9,44,930,0.034,124,39,156
436,15,25.6,0,2.1,30,1894,0.066,44,25,114
437,20,19.3,0,2.4,36,935,0.046,176,39,123
438,20,16.9,0,3.5,64,754,0.03,68,53,124
440,22,10.1,0,1.7,86,459,0.006,40,40,112
442,21,18,0,2.7,51,1967,0.056,54,33,178
443,23,19.1,0,2.2,44,2000,0.042,27,20,152
444,7,4.4,0,0.6,71,633,0.033,76,71,76
445,8,14.7,0,1.6,70,1577,0.026,28,16,56
446,0,17.7,0,1.1,36,1111,0.027,155,35,78
448,19,21.7,0,3.8,19,2000,0.064,37,20,191
450,1,12.1,0,1.8,34,2000,,,,23
453,9,15.1,0,4.2,63,1849,0.028,39,21,118
455,22,13.9,0,1.8,25,2000,0.035,41,18,157
456,16,29,0,4.1,41,1207,0.106,72,49,126
457,3,16.5,0,1.1,43,1068,0.01,162,39,32
459,18,22,0,3.3,11,2000,0.053,17,13,336
460,8,8.1,0,0.4,70,1378,0.007,52,25,194
461,17,28.8,0,2.9,40,1354,0.093,66,43,176
462,12,25,0,1.9,54,699,0.056,66,41,113
464,9,19.8,0,0.6,57,1721,0.008,40,29,138
465,10,11.9,1,2.4,54,935,0.005,73,61,30
466,10,20.7,0,4.1,43,1480,0.044,32,21,109
468,13,19.4,0,4.9,55,1449,0.055,53,28,108
469,10,23.3,0,1.4,33,1994,0.009,32,20,118
472,11,24,0,2.2,42,1966,0.038,44,26,121
473,11,23.4,0,1.8,58,690,0.057,64,40,95
475,19,15.3,0,3.3,40,2000,0.045,59,26,188
476,19,10.8,1,3.9,92,250,0.032,34,28,1
477,14,26.8,0,4.2,28,1514,0.086,60,36,102
479,19,21.2,0,1.9,47,1881,0.041,42,25,296
480,8,14.5,1,1.9,94,128,0.013,60,34,165
481,22,14,0,2.7,30,2000,0.049,26,15,100
482,21,14.6,0,3.8,29,2000,0.044,43,19,163
487,5,9.1,0,1.2,83,495,0.014,81,39,8
488,2,18.2,0,2.1,64,2000,0.003,33,23,40
489,10,15.1,0,7.3,37,1992,0.04,45,19,66
490,23,15.2,0,1.4,58,2000,0.041,31,16,122
492,7,13.7,0,0.3,71,508,0.062,81,50,19
493,1,9.9,0,1.6,62,1755,,,,41
496,5,4,0,0.3,78,1521,0.021,28,28,8
498,8,19.2,0,1.6,56,2000,0.008,31,19,267
500,23,11.7,0,2.9,65,1446,0.041,50,21,114
501,0,10,0,0.5,50,830,0.026,82,70,46
502,9,15,0,2.9,59,1921,0.018,58,17,113
503,15,13.4,1,3.7,62,969,0.043,43,35,2
504,1,15,0,1.5,65,1167,,,,70
505,13,16.8,0,7.5,43,2000,0.053,55,17,3
506,0,15.3,0,1.2,87,391,0.015,75,35,91
507,17,19.5,0,2.6,54,579,0.059,66,51,195
508,12,13.1,0,3.1,48,1012,0.016,70,57,22
509,18,19.8,0,5.3,21,2000,0.072,38,22,266
510,23,11.1,0,2.9,55,2000,0.033,47,21,85
511,1,11.4,0,1.7,40,1645,,,,27
512,21,15.5,0,3.4,45,2000,0.054,45,21,163
513,14,13.2,1,4.7,81,604,0.053,52,19,27
514,4,16,0,0.1,52,1162,0.041,68,41,15
516,18,22.6,0,5.4,18,2000,0.066,39,21,252
517,13,10.3,0,1.4,89,599,0.022,27,26,55
519,21,13.3,0,3.1,48,1880,0.052,54,26,162
520,7,10,0,0.5,51,1948,0.028,84,25,72
522,19,28.7,0,3.3,8,2000,0.052,22,10,317
523,10,21.5,0,1.1,65,1302,0.02,27,18,87
524,8,9,0,2.5,17,2000,0.018,41,13,197
526,12,21.8,0,3.6,47,1903,0.056,34,21,147
527,9,13.4,0,2.6,21,986,0.027,212,20,59
528,15,12.7,1,4.8,88,293,0.044,,,8
530,2,17.2,0,0.4,44,1048,0.022,162,39,38
531,15,21.2,0,3.7,12,2000,0.047,23,12,133
533,8,14.8,0,1.1,52,2000,0.015,37,22,224
535,2,13.2,0,2.4,29,1271,0.033,60,51,26
536,12,19.7,0,3.5,45,1307,0.053,124,21,80
537,18,18.3,0,4.3,43,1304,0.056,76,30,299
538,21,21.4,0,3.7,49,1790,0.027,54,30,207
539,0,17.2,0,1.8,35,2000,0.043,24,19,137
541,13,26.3,0,2,42,1502,0.037,53,33,114
542,14,14.6,0,6.7,14,2000,0.048,59,11,93
543,23,16.6,0,2.1,71,465,0.066,92,53,112
545,1,14.4,0,2.6,41,2000,,,,52
546,18,20.9,0,4.2,51,686,0.031,59,50,275
548,17,28.1,0,2,19,1665,0.088,65,35,248
550,20,17.4,0,3.5,30,1815,0.056,72,41,135
551,2,8.4,0,2,68,1923,0.033,55,18,21
552,14,17.2,0,3.5,28,1970,0.048,64,18,131
553,15,29.6,0,2.5,22,859,0.099,74,38,227
554,3,11.6,1,0,90,284,0.01,68,57,5
555,15,23.3,0,3.4,58,1818,0.036,32,22,110
556,22,14.3,0,1.7,35,921,0.047,83,72,104
557,8,10.7,0,2,45,1881,0.024,45,24,212
558,14,14.2,0,3.1,27,1564,0.053,49,46,186
559,0,15.4,0,2.4,41,2000,0.035,26,11,80
560,12,17.3,0,7.7,37,1999,0.051,60,12,21
561,4,14,0,1.6,43,1999,0.007,55,40,6
562,23,17.3,0,2.9,37,1325,0.063,63,35,102
565,8,11.4,0,2.1,82,440,0.027,74,42,43
566,23,13.4,0,2.1,31,2000,0.043,26,16,88
568,7,12.8,0,1.4,84,235,0.031,114,67,39
569,4,11.9,0,2.8,85,742,0.045,57,22,27
570,0,14.3,0,,49,2000,0.044,37,20,58
571,5,5,0,0.3,59,1022,0.04,70,64,12
573,4,10.6,0,1.8,80,512,0.019,53,45,8
574,9,9.8,0,3.3,58,1263,0.01,107,21,124
575,16,18.4,1,8,77,1006,0.06,61,27,46
576,2,11.2,0,1.6,55,1583,0.024,62,31,43
579,15,19.7,0,3.4,61,1053,0.044,48,29,113
580,9,15.3,0,1.5,43,1084,0.032,110,29,95
581,12,18,0,2.3,53,978,0.015,123,34,122
582,19,11.7,0,2.6,51,2000,0.043,29,25,77
583,13,27.3,0,2.7,26,836,0.055,77,40,189
584,17,19.9,1,0.9,56,1082,0.06,109,37,4
586,18,21.9,0,4.1,17,1987,0.056,61,16,150
587,13,20.6,0,1.7,48,1813,0.035,40,18,107
591,16,19,0,3.2,22,1285,0.067,71,59,125
593,2,10.9,0,0.8,79,1918,0.018,31,23,28
595,12,17.2,0,3.4,56,1478,0.035,34,24,19
597,4,7.5,0,0.4,79,1636,0.032,56,21,6
600,3,5.7,0,0.8,74,2000,0.032,12,13,21
601,19,15.9,0,3.5,47,1626,0.043,79,25,205
602,8,19,0,1.4,75,537,0.049,55,33,222
603,4,15.6,0,2.1,65,636,0.081,83,48,27
604,16,24.2,0,3.4,33,1633,0.075,77,42,296
612,5,11.9,0,0.6,41,879,0.032,66,60,10
613,17,19.6,0,4.2,36,1231,0.059,77,29,205
619,15,20,0,4,39,2000,0.055,22,17,281
620,19,26.5,0,4.4,31,1973,0.071,45,28,324
621,6,13.5,0,0.5,49,2000,0.051,29,18,37
622,5,10.2,0,0.7,75,726,0.03,68,31,12
623,7,14.8,0,1.3,55,1305,0.017,65,42,65
625,11,22,0,2,39,1677,0.037,46,28,88
626,19,16.8,0,6.2,41,1467,0.056,108,20,111
627,5,10.9,0,3.8,10,2000,0.047,45,13,10
628,9,12.2,0,1.9,42,1946,0.01,41,26,106
630,8,13.5,0,0.8,78,972,0.024,36,19,189
632,15,18.8,0,3.8,41,1632,0.043,78,26,119
634,4,18.9,0,1.7,80,459,0.04,70,41,13
635,10,16.6,0,0.9,53,1145,0.011,128,30,63
636,16,24.4,0,3.3,52,549,0.078,81,45,127
639,2,10.8,0,1.4,22,1998,0.038,64,19,24
640,6,14,0,0.4,71,533,0.069,82,50,9
641,7,17.8,0,1.2,58,2000,0.012,30,22,108
642,8,9.5,0,1.5,72,955,0.02,47,22,214
647,17,26.6,0,4,39,1081,0.091,84,48,287
649,16,20.5,0,4.2,36,2000,0.055,20,14,302
653,8,15.7,0,1.4,51,1157,0.01,66,41,169
654,18,20.3,0,4.1,24,2000,,57,27,320
655,10,21.6,0,1.4,40,1739,0.026,45,28,95
658,9,18,0,1.8,44,1961,0.03,31,20,79
661,7,11.1,0,1.3,84,967,0.034,54,19,21
663,12,21.9,0,2.6,41,1618,0.04,46,25,113
664,3,8.9,0,1.4,62,1994,0.041,46,18,23
666,12,13.8,0,2.8,42,516,0.031,104,89,82
667,1,15.5,0,5.4,48,540,,,,40
668,21,13.1,0,2.7,60,1582,0.025,76,28,121
669,13,21.6,0,3.5,34,990,0.037,78,40,184
670,22,12.5,0,4,76,525,0.013,67,54,60
671,5,13.2,0,0.1,76,698,0.023,56,42,17
672,15,24.2,0,5,30,1937,0.067,48,25,140
673,5,15.7,0,1,62,1704,0.019,42,28,22
674,22,11,1,2.9,95,177,0.028,29,29,2
676,11,16.9,0,5.5,35,1948,0.045,51,13,52
677,8,14.3,0,0.6,69,493,0.061,87,52,33
678,5,11.8,0,0.8,51,1694,0.055,102,30,26
679,16,20,0,4.9,24,1976,0.071,46,19,162
680,20,12.9,0,4,70,1355,0.053,54,27,85
683,13,19.4,0,2.5,16,2000,0.045,27,14,122
684,9,12.1,0,1.9,58,771,0.032,65,36,60
687,6,17.7,0,0.6,56,2000,0.014,31,20,49
688,6,9.8,0,0.1,84,874,0.009,35,27,32
690,12,21.4,0,3,46,565,0.064,213,57,104
691,0,17.9,0,0.7,87,582,0.004,32,25,30
692,18,29.3,0,2.6,32,1661,0.082,45,32,380
693,15,21.6,0,3.4,21,2000,0.053,33,17,284
694,7,7.9,0,1,55,2000,0.028,30,19,96
695,17,20.1,0,4.5,25,2000,,58,29,236
697,18,18.1,0,4.1,61,2000,0.039,27,16,339
698,15,22.5,0,2.9,37,848,0.048,145,45,97
699,23,20.5,0,1.6,54,1808,0.028,56,31,137
700,16,27.5,0,2.9,38,1863,0.083,51,28,263
701,13,22.3,0,3.7,49,1819,0.057,38,22,118
702,6,10.4,0,1.7,50,1976,0.024,94,27,30
706,9,9.7,0,3,99,165,0.023,25,22,52
707,14,11.2,0,2.7,80,1013,0.03,25,25,75
708,14,18.5,0,3.5,33,1636,0.041,68,25,121
709,8,16.5,0,0.6,62,1600,0.022,37,28,51
710,13,19,0,1.9,28,697,0.045,87,78,88
711,1,14.1,0,2,41,2000,,,,29
712,16,19.7,0,5.4,38,1589,0.063,58,35,140
713,19,18.8,0,4.3,28,2000,0.051,40,19,211
715,1,12.3,0,1.2,78,629,,,,58
716,11,22.9,0,2.1,31,1947,0.04,25,18,127
719,6,7.2,0,0.6,55,831,0.004,78,68,19
722,14,24.6,0,2.6,32,1867,0.052,47,27,101
724,8,18.2,0,0.8,63,1987,0.005,36,25,215
725,5,12.2,0,3,76,407,0.033,67,40,11
727,1,5.3,0,2.3,76,1965,,,,24
729,0,13.8,0,3.2,69,518,0.042,79,46,46
732,8,10.5,0,0.6,35,1953,0.038,47,27,155
733,10,12.8,0,1.8,81,325,0.015,74,67,55
735,3,4.6,0,0.3,76,1951,0.03,27,25,11
736,18,26.4,0,4.4,50,1381,0.083,54,33,305
739,3,16.1,0,2.9,83,400,0.051,60,35,46
740,1,4.9,0,1.5,81,2000,,,,34
741,17,20.3,0,5.5,35,2000,0.053,60,16,276
742,23,12.1,0,3.5,76,450,0.007,74,57,11
743,11,17.2,0,2.9,74,1307,0.029,39,25,81
744,10,10.2,0,2.6,84,261,0.013,72,62,55
747,11,24,0,1.5,48,1303,0.017,45,28,92
748,0,14.8,0,1.2,64,2000,0.042,28,16,78
750,11,17.1,0,5.3,40,1984,0.043,53,14,110
751,23,13.3,0,1.8,44,1650,0.043,67,34,100
754,6,14.9,0,0.9,51,1308,0.032,62,37,34
755,13,17.7,0,2.4,50,1129,0.036,,,114
756,23,19.2,0,1.9,46,1877,0.006,64,38,101
757,11,18.4,0,0.9,57,1437,0.027,39,21,78
759,15,21.3,0,1.3,36,1368,0.041,30,27,146
